t_ms,raw,volts,ohms
61526,3714.3,2.993,1025
61576,3716.7,2.995,1018
61626,3714.5,2.993,1024
61676,3709.7,2.989,1039
61726,3707.1,2.987,1046
61776,3705.5,2.986,1051
61826,3702.3,2.983,1061
61876,3705.3,2.986,1052
61926,3709.9,2.99,1038
61976,3712.1,2.991,1032
62026,3714.6,2.993,1024
62076,3719.8,2.998,1009
62126,3716.1,2.995,1020
62176,3720.2,2.998,1008
62226,3717.6,2.996,1015
62276,3720.4,2.998,1007
62326,3724.2,3.001,996
62376,3726.1,3.003,990
62426,3725.3,3.002,993
62476,3725.6,3.002,992
62526,3727.7,3.004,985
62576,3726.4,3.003,989
62626,3727.4,3.004,986
62676,3727.6,3.004,986
62726,3727.9,3.004,985
62776,3727.4,3.004,986
62826,3727.8,3.004,985
62876,3730.4,3.006,977
62926,3727.1,3.004,987
62976,3730.5,3.006,977
63026,3727.4,3.004,986
63076,3728.1,3.004,984
63126,3727.6,3.004,986
63176,3727.4,3.004,986
63226,3725.1,3.002,993
63276,3723.3,3,998
63326,3725.4,3.002,992
63376,3721.3,2.999,1004
63426,3718.1,2.996,1014
63476,3716.8,2.995,1018
63526,3717.4,2.996,1016
63576,3716.7,2.995,1018
63626,3720.4,2.998,1007
63676,3716.9,2.995,1017
63726,3717.5,2.996,1015
63776,3718.3,2.996,1013
63826,3716,2.995,1020
63876,3719.6,2.997,1009
63926,3718.8,2.997,1012
63976,3719.8,2.998,1009
64026,3723.9,3.001,997
64076,3723.2,3,999
64126,3722.7,3,1000
64176,3725.6,3.002,991
64226,3725.3,3.002,992
64276,3727.2,3.004,987
64326,3726.6,3.003,988
64376,3727.9,3.004,985
64426,3728.8,3.005,982
64476,3729.7,3.006,979
64526,3730.9,3.007,976
64576,3727.8,3.004,985
64626,3729.9,3.006,979
64676,3729.8,3.006,979
64726,3729,3.005,981
64776,3729.9,3.006,979
64826,3730.3,3.006,978
64876,3728.6,3.005,983
64926,3728.4,3.005,983
64976,3729.8,3.006,979
65026,3729.1,3.005,981
65076,3728.9,3.005,982
65126,3731.1,3.007,975
65176,3729.3,3.005,981
65226,3728.9,3.005,982
65276,3728.8,3.005,982
65326,3728.4,3.005,983
65376,3730.6,3.006,977
65426,3730.7,3.006,977
65476,3728,3.004,984
65526,3730.7,3.006,977
65576,3730.8,3.006,976
65626,3730.9,3.007,976
65676,3730,3.006,979
65726,3730.6,3.006,977
65776,3729.5,3.005,980
65826,3729.8,3.006,979
65876,3727.9,3.004,985
65926,3732.6,3.008,971
65976,3729.5,3.005,980
66026,3732.9,3.008,970
66076,3730.8,3.007,976
66126,3731.1,3.007,975
66176,3730.1,3.006,978
66226,3731.1,3.007,975
66276,3731.3,3.007,975
66326,3731.6,3.007,974
66376,3730.8,3.007,976
66426,3730.5,3.006,977
66476,3728.6,3.005,983
66526,3725.5,3.002,992
66576,3724.5,3.001,995
66626,3722.9,3,999
66676,3719.8,2.998,1009
66726,3710.5,2.99,1036
66776,3704.3,2.985,1055
