t_ms,raw,volts,ohms
77600,3684.4,2.969,1114.0
77650,3686.0,2.97,1110.0
77700,3683.4,2.968,1118.0
77750,3685.7,2.97,1111.0
77800,3681.8,2.967,1122.0
77850,3678.8,2.965,1131.0
77900,3674.8,2.961,1144.0
77950,3666.7,2.955,1168.0
78000,3662.3,2.951,1181.0
78050,3652.3,2.943,1212.0
78100,3644.1,2.937,1237.0
78150,3643.1,2.936,1241.0
78200,3642.8,2.936,1242.0
78250,3643.6,2.936,1239.0
78300,3648.5,2.94,1224.0
78350,3645.9,2.938,1232.0
78400,3648.3,2.94,1224.0
78450,3646.6,2.939,1230.0
78500,3647.8,2.94,1226.0
78550,3647.0,2.939,1228.0
78600,3646.8,2.939,1229.0
78650,3644.7,2.937,1236.0
78700,3644.4,2.937,1236.0
78750,3644.6,2.937,1236.0
78800,3645.8,2.938,1232.0
78850,3652.5,2.943,1211.0
78900,3652.3,2.943,1212.0
78950,3652.7,2.944,1211.0
79000,3653.9,2.945,1207.0
79050,3652.4,2.943,1212.0
79100,3657.3,2.947,1197.0
79150,3661.1,2.95,1185.0
79200,3664.0,2.953,1176.0
79250,3663.8,2.953,1177.0
79300,3669.2,2.957,1161.0
79350,3671.8,2.959,1153.0
79400,3671.1,2.958,1155.0
79450,3674.6,2.961,1144.0
79500,3680.0,2.966,1128.0
79550,3681.1,2.966,1124.0
79600,3684.6,2.969,1114.0
79650,3686.8,2.971,1107.0
79700,3683.9,2.969,1116.0
79750,3690.1,2.974,1097.0
79800,3689.0,2.973,1101.0
79850,3688.6,2.972,1102.0
79900,3692.9,2.976,1089.0
79950,3691.2,2.975,1094.0
80000,3693.9,2.977,1086.0
80050,3697.0,2.979,1077.0
80100,3692.6,2.976,1090.0
80150,3691.5,2.975,1093.0
80200,3691.7,2.975,1092.0
80250,3687.4,2.972,1105.0
80300,3688.4,2.972,1102.0
80350,3684.9,2.969,1113.0
80400,3677.2,2.963,1136.0
80450,3672.1,2.959,1152.0
80500,3665.9,2.954,1170.0
80550,3659.9,2.949,1189.0
80600,3655.5,2.946,1202.0
80650,3652.9,2.944,1210.0
80700,3652.4,2.943,1212.0
80750,3650.3,2.942,1218.0
80800,3654.3,2.945,1206.0
80850,3653.7,2.944,1208.0
80900,3657.8,2.948,1195.0
80950,3649.0,2.941,1222.0
81000,3647.4,2.939,1227.0
81050,3644.0,2.937,1238.0
81100,3643.3,2.936,1240.0
81150,3642.2,2.935,1243.0
81200,3644.9,2.937,1235.0
81250,3647.0,2.939,1228.0
81300,3648.1,2.94,1225.0
81350,3650.1,2.941,1219.0
81400,3653.8,2.944,1208.0
81450,3647.3,2.939,1227.0
81500,3650.4,2.942,1218.0
81550,3656.0,2.946,1201.0
81600,3656.3,2.946,1200.0
81650,3657.5,2.947,1196.0
81700,3660.1,2.95,1188.0
81750,3661.3,2.95,1185.0
81800,3663.5,2.952,1178.0
81850,3665.5,2.954,1172.0
81900,3668.6,2.956,1162.0
81950,3674.5,2.961,1144.0
82000,3672.6,2.96,1150.0
82050,3678.7,2.965,1132.0
82100,3679.9,2.965,1128.0
82150,3683.4,2.968,1118.0
82200,3684.8,2.969,1113.0
82250,3689.6,2.973,1099.0
82300,3687.8,2.972,1104.0
82350,3693.1,2.976,1088.0
82400,3693.8,2.977,1086.0
82450,3694.2,2.977,1085.0
82500,3692.6,2.976,1090.0
82550,3694.9,2.978,1083.0
82600,3693.1,2.976,1088.0
82650,3693.6,2.976,1087.0
