t_ms,raw,volts,ohms
45050,3800.9,3.063,774.0
45100,3802.7,3.064,769.0
45150,3801.4,3.063,772.0
45200,3801.9,3.064,771.0
45250,3799.1,3.062,779.0
45300,3800.6,3.063,775.0
45350,3800.7,3.063,774.0
45400,3798.5,3.061,781.0
45450,3803.3,3.065,767.0
45500,3799.8,3.062,777.0
45550,3800.9,3.063,774.0
45600,3799.9,3.062,777.0
45650,3800.3,3.063,775.0
45700,3797.6,3.06,783.0
45750,3801.3,3.063,773.0
45800,3797.8,3.061,783.0
45850,3795.9,3.059,788.0
45900,3795.4,3.059,789.0
45950,3789.8,3.054,805.0
46000,3788.6,3.053,809.0
46050,3782.4,3.048,827.0
46100,3783.7,3.049,823.0
46150,3784.5,3.05,820.0
46200,3777.1,3.044,842.0
46250,3779.1,3.045,836.0
46300,3782.4,3.048,827.0
46350,3778.9,3.045,836.0
46400,3782.5,3.048,826.0
46450,3781.4,3.047,829.0
46500,3784.1,3.049,822.0
46550,3787.3,3.052,813.0
46600,3785.8,3.051,817.0
46650,3786.9,3.052,813.0
46700,3786.0,3.051,816.0
46750,3787.0,3.052,813.0
46800,3786.8,3.052,814.0
46850,3786.6,3.051,815.0
46900,3788.1,3.053,810.0
46950,3788.4,3.053,809.0
47000,3784.5,3.05,820.0
47050,3784.5,3.05,820.0
47100,3783.3,3.049,824.0
47150,3783.0,3.049,825.0
47200,3781.4,3.047,829.0
47250,3780.1,3.046,833.0
47300,3777.6,3.044,840.0
47350,3779.1,3.045,836.0
47400,3779.8,3.046,834.0
47450,3782.4,3.048,826.0
47500,3782.3,3.048,827.0
47550,3778.3,3.045,838.0
47600,3780.4,3.047,832.0
47650,3782.3,3.048,827.0
47700,3785.0,3.05,819.0
47750,3786.4,3.051,815.0
47800,3786.9,3.052,813.0
47850,3786.4,3.051,815.0
47900,3785.7,3.051,817.0
47950,3783.8,3.049,822.0
48000,3786.9,3.052,814.0
48050,3789.4,3.054,807.0
48100,3789.6,3.054,806.0
48150,3791.3,3.055,801.0
48200,3789.9,3.054,805.0
48250,3788.1,3.053,810.0
48300,3792.3,3.056,798.0
48350,3783.8,3.049,822.0
48400,3780.4,3.046,832.0
48450,3780.3,3.046,833.0
48500,3782.8,3.048,825.0
48550,3785.3,3.05,818.0
48600,3787.1,3.052,813.0
48650,3789.0,3.053,808.0
48700,3785.8,3.051,817.0
48750,3787.2,3.052,813.0
48800,3787.7,3.052,811.0
48850,3787.6,3.052,812.0
48900,3790.9,3.055,802.0
48950,3789.7,3.054,806.0
49000,3788.5,3.053,809.0
49050,3789.7,3.054,806.0
49100,3786.3,3.051,815.0
