t_ms,raw,volts,ohms
52600,3841.1,3.095,661.0
52650,3837.4,3.092,671.0
52700,3839.7,3.094,665.0
52750,3839.4,3.094,666.0
52800,3840.8,3.095,662.0
52850,3837.7,3.093,670.0
52900,3838.4,3.093,668.0
52950,3836.8,3.092,673.0
53000,3835.4,3.091,677.0
53050,3841.6,3.096,660.0
53100,3837.3,3.092,672.0
53150,3838.3,3.093,669.0
53200,3836.9,3.092,673.0
53250,3839.3,3.094,666.0
53300,3838.9,3.094,667.0
53350,3837.8,3.093,670.0
53400,3839.9,3.094,664.0
53450,3839.2,3.094,666.0
53500,3836.8,3.092,673.0
53550,3838.3,3.093,669.0
53600,3838.3,3.093,669.0
53650,3836.9,3.092,673.0
53700,3837.8,3.093,670.0
53750,3838.6,3.093,668.0
53800,3840.5,3.095,663.0
53850,3838.9,3.094,667.0
53900,3837.4,3.092,671.0
53950,3836.7,3.092,673.0
54000,3839.0,3.094,667.0
54050,3837.3,3.092,672.0
54100,3834.4,3.09,680.0
54150,3837.4,3.092,671.0
54200,3839.9,3.094,664.0
54250,3838.6,3.093,668.0
54300,3841.4,3.096,660.0
54350,3836.5,3.092,674.0
54400,3837.1,3.092,672.0
54450,3838.1,3.093,669.0
54500,3839.0,3.094,667.0
54550,3835.4,3.091,677.0
54600,3839.3,3.094,666.0
54650,3836.1,3.091,675.0
54700,3838.4,3.093,668.0
54750,3836.1,3.091,675.0
54800,3836.6,3.092,673.0
54850,3838.0,3.093,670.0
54900,3839.9,3.094,664.0
54950,3838.8,3.093,668.0
55000,3836.9,3.092,673.0
55050,3838.0,3.093,670.0
55100,3838.8,3.094,667.0
55150,3838.6,3.093,668.0
55200,3839.5,3.094,665.0
55250,3838.1,3.093,669.0
55300,3840.2,3.095,664.0
55350,3838.3,3.093,669.0
55400,3835.3,3.091,677.0
55450,3837.6,3.093,671.0
55500,3838.4,3.093,668.0
55550,3838.8,3.094,667.0
55600,3839.7,3.094,665.0
55650,3837.3,3.092,672.0
55700,3839.6,3.094,665.0
55750,3840.9,3.095,662.0
55800,3837.0,3.092,672.0
55850,3837.6,3.093,671.0
55900,3842.1,3.096,658.0
55950,3837.4,3.092,671.0
56000,3840.0,3.095,664.0
56050,3839.5,3.094,665.0
56100,3837.3,3.092,672.0
56150,3840.3,3.095,663.0
56200,3837.0,3.092,672.0
56250,3836.6,3.092,674.0
